iso_ts,epoch_ts,inflight_requests,request_count,node_ready,node_not_ready
2026-03-21T20:39:54Z,1774125594,12,536996,1,0
2026-03-21T20:40:13Z,1774125613,1,268841,1,0
2026-03-21T20:40:25Z,1774125625,1,268929,1,0
2026-03-21T20:40:38Z,1774125638,3,268984,1,0
2026-03-21T21:24:31Z,1774128271,1,274647,1,0
2026-03-21T21:24:40Z,1774128280,1,274678,1,0
2026-03-21T21:24:49Z,1774128289,3,274713,1,0
2026-03-21T21:24:58Z,1774128298,1,274774,1,0
2026-03-21T21:25:08Z,1774128308,0,274801,1,0
2026-03-21T21:25:16Z,1774128316,0,274819,1,0
2026-03-21T21:25:25Z,1774128325,1,274844,1,0
2026-03-21T21:25:35Z,1774128335,0,274868,1,0
2026-03-21T21:25:43Z,1774128343,1,274893,1,0
2026-03-21T21:25:53Z,1774128353,1,274911,1,0
2026-03-21T21:26:02Z,1774128362,2,274930,1,0
2026-03-21T21:26:11Z,1774128371,1,274951,1,0
2026-03-21T21:26:20Z,1774128380,1,274972,1,0
2026-03-21T21:26:29Z,1774128389,1,274992,1,0
2026-03-21T21:26:38Z,1774128398,0,275016,1,0
2026-03-21T21:26:47Z,1774128407,1,275037,1,0
2026-03-21T21:26:56Z,1774128416,1,275059,1,0
2026-03-21T21:27:05Z,1774128425,1,275087,1,0
2026-03-21T21:27:15Z,1774128435,2,275109,1,0
2026-03-21T21:27:24Z,1774128444,2,275129,1,0
2026-03-21T21:27:32Z,1774128452,1,275152,1,0
2026-03-21T21:27:41Z,1774128461,0,275168,1,0
2026-03-21T21:27:50Z,1774128470,1,275194,1,0
2026-03-21T21:28:00Z,1774128480,1,275215,1,0
2026-03-21T21:28:09Z,1774128489,1,275242,1,0
2026-03-21T21:28:18Z,1774128498,1,275263,1,0
2026-03-21T21:28:27Z,1774128507,1,275292,1,0
2026-03-21T21:28:36Z,1774128516,1,275315,1,0
2026-03-21T21:28:45Z,1774128525,2,275338,1,0
2026-03-21T21:28:54Z,1774128534,2,275358,1,0
2026-03-21T21:29:03Z,1774128543,1,275385,1,0
2026-03-21T21:29:12Z,1774128552,1,275403,1,0
2026-03-21T21:29:21Z,1774128561,1,275426,1,0
2026-03-21T21:29:30Z,1774128570,0,275447,1,0
2026-03-21T21:29:39Z,1774128579,1,275471,1,0
2026-03-21T21:29:48Z,1774128588,1,275494,1,0
2026-03-21T21:29:57Z,1774128597,1,275515,1,0
2026-03-21T21:30:06Z,1774128606,1,275540,1,0
2026-03-21T21:30:16Z,1774128616,2,275555,1,0
2026-03-21T21:30:25Z,1774128625,0,275568,1,0
2026-03-21T21:30:35Z,1774128635,2,275592,1,0
2026-03-21T21:30:45Z,1774128645,1,275608,1,0
2026-03-21T21:30:54Z,1774128654,1,275624,1,0
2026-03-21T21:31:05Z,1774128665,1,275645,1,0
2026-03-21T21:31:14Z,1774128674,2,275658,1,0
2026-03-21T21:31:23Z,1774128683,2,275675,1,0
2026-03-21T21:31:32Z,1774128692,1,275689,1,0
2026-03-21T21:31:41Z,1774128701,3,275866,1,0
2026-03-21T21:31:54Z,1774128714,4,276061,1,0
2026-03-21T21:32:12Z,1774128732,2,276259,1,0
2026-03-21T21:32:25Z,1774128745,3,276368,1,0
2026-03-21T22:09:40Z,1774130980,0,281828,1,0
2026-03-21T22:09:50Z,1774130990,1,281855,1,0
2026-03-21T22:09:59Z,1774130999,2,281886,1,0
2026-03-21T22:10:08Z,1774131008,2,281961,1,0
2026-03-21T22:10:17Z,1774131017,2,281977,1,0
2026-03-21T22:10:26Z,1774131026,1,282002,1,0
2026-03-21T22:10:35Z,1774131035,1,282022,1,0
2026-03-21T22:10:43Z,1774131043,1,282044,1,0
2026-03-21T22:10:52Z,1774131052,1,282067,1,0
2026-03-21T22:11:02Z,1774131062,0,282087,1,0
2026-03-21T22:11:11Z,1774131071,0,282114,1,0
2026-03-21T22:11:20Z,1774131080,2,282133,1,0
2026-03-21T22:11:29Z,1774131089,1,282154,1,0
2026-03-21T22:11:38Z,1774131098,2,282177,1,0
2026-03-21T22:11:47Z,1774131107,1,282201,1,0
2026-03-21T22:11:58Z,1774131118,1,282221,1,0
2026-03-21T22:12:07Z,1774131127,1,282254,1,0
